Participant,Timestamp,Happy_Low_M1,Happy_Low_M2,Happy_High_M1,Happy_High_M2,Angry_Low_M1,Angry_Low_M2,Angry_High_M1,Angry_High_M2
P9,0.99,0.7896960091,0.8229574223,0.7611389394,0.8764808299,1.019967503,0.7424116214,0.7459569864,0.8200541046
P9,0.9905,0.7493783637,0.8345183425,0.7245192205,0.9357692677,1.010294264,0.7572045821,0.899856386,0.8178744533
P9,0.991,0.7223995855,0.8253462163,0.7098720927,0.9755956808,0.9859917903,0.7814803975,1.079332829,0.8037804755
P9,0.9915,0.6981087668,0.8213178736,0.6527843695,0.9926210685,0.9667314737,0.7802746129,1.088123569,0.8193066763
P9,0.992,0.7048814124,0.8094562807,0.726078891,0.9771113105,0.9321635573,0.818330214,0.9079140143,0.8159755829
P9,0.9925,0.7109853096,0.7877964524,0.8212276128,0.935444161,0.937476436,0.821556246,0.6790828621,0.8469233342
P9,0.993,0.6545788348,0.8164949661,0.9652986979,0.9428040922,0.8608560262,0.7857576738,0.7492863491,0.8379352861
P9,0.9935,0.5871413164,0.8386284549,0.9106201993,0.9398942972,0.8475932023,0.8048686867,0.858435184,0.8542883254
P9,0.994,0.650885545,0.8041996662,0.7235524688,0.950495335,0.8271869144,0.8428746301,0.8546518349,0.8593606602
P9,0.9945,0.7862307742,0.752852106,0.6993713108,0.9128790336,0.7679118038,0.8603068842,0.8193136275,0.8386371902
P9,0.995,0.8485178221,0.755424133,0.7857551375,0.8458376182,0.7455084725,0.8706712927,0.837766665,0.8313867042
P9,0.9955,0.8194018413,0.7693501416,0.7846656437,0.7794216118,0.8090338402,0.8561925655,1.065538868,0.860295482
P9,0.996,0.7787377918,0.747984392,0.8097965791,0.7552463806,0.9120526209,0.8528792858,1.208728488,0.8513807204
P9,0.9965,0.7356295446,0.7503049227,0.8519120661,0.7266524982,0.9651633762,0.867911179,1.119423086,0.8227253968
P9,0.997,0.7582118903,0.7595872171,0.9090560796,0.7087037154,0.9331832738,0.8746077507,0.9581250364,0.8172599469
P9,0.9975,0.7843169522,0.7869542263,0.8739773451,0.7064386364,0.8944795436,0.8507117912,0.8337481362,0.794594837
P9,0.998,0.7930301755,0.8023124309,0.7855295555,0.7377170391,0.8868715785,0.8458355393,0.7531727786,0.777281053
P9,0.9985,0.7989254665,0.8475649696,0.711065168,0.7633906937,0.9227955287,0.7900964317,0.726796491,0.7730872976
P9,0.999,0.7809575325,0.7918923825,0.7258211054,0.7576295886,0.8706419194,0.7079743115,0.7265354419,0.775159166
P9,0.9995,0.7728891992,0.802691394,0.8234054096,0.7595762603,0.7236818597,0.6773217168,1.067586211,0.7261617355
P9,1,0.7437911388,0.850098355,0.8367005834,0.7964181381,0.6822510899,0.7143709161,1.1118053,0.7124666074
P10,0.3,0.6668920964,0.7408569741,0.8359798419,0.8290624851,0.788511996,0.7173296633,0.7346006476,0.7600677638
P10,0.3005,0.729662053,0.7709542289,0.8994231608,0.8121337272,0.8271726265,0.7181345017,0.688821429,0.7217684995
P10,0.301,0.7360714572,0.825146935,0.8940591791,0.8396860608,0.8295987249,0.7667892822,0.7473717686,0.7063694977
P10,0.3015,0.7452385523,0.7916475226,0.6976333474,0.8341400902,0.8141667787,0.8491901853,0.8720963077,0.7027363395
P10,0.302,0.7800973494,0.8107848215,0.630867366,0.7386040513,0.7211019809,0.8690447302,0.78159796,0.7431818363
P10,0.3025,0.6966063645,0.8418106983,0.6910177723,0.7243285226,0.6646262955,0.807734617,0.8049589022,0.8046508111
P10,0.303,0.690750798,0.7983855427,0.7867449168,0.7873160737,0.7898287181,0.7963388753,0.7381824622,0.7648626586
P10,0.3035,0.6979412744,0.7735370089,0.6411254628,0.7898766995,0.8810879192,0.860445236,0.7893798715,0.7462793042
P10,0.304,0.7523637966,0.71535372,0.589332507,0.7709625325,0.8482293167,0.9173401911,0.811561832,0.7571128338
P10,0.3045,0.8011880732,0.7464155014,0.7374673588,0.730282557,0.8359057966,0.9171173238,0.7431914103,0.735458205
P10,0.305,0.8226526756,0.8303597056,0.7635953864,0.7422535966,0.8024714441,0.8818998769,0.7934276789,0.7198644196
P10,0.3055,0.8228851762,0.8675034535,0.7886733397,0.8047603879,0.8737559819,0.8613881692,0.6623263658,0.7116496381
P10,0.306,0.8082432438,0.8929829473,0.8048265908,0.8462023097,0.8165930987,0.8821164271,0.6677547947,0.729803929
P10,0.3065,0.7575571511,0.8001342381,0.8303878162,0.8692678703,0.724010426,0.7694480258,0.6735383913,0.6761314792
P10,0.307,0.5989916129,0.73208047,0.8507809662,0.8115824492,0.8711074504,0.6624479124,0.7004247332,0.6626053233
P10,0.3075,0.6668621487,0.6835520238,0.7834170811,0.7460107238,0.8318500525,0.7196733062,0.7512305609,0.751430242
P10,0.308,0.7463826334,0.6915386347,0.7827299717,0.7561441759,0.7495799374,0.8337006883,0.8090908197,0.7291209273
